This tab has one table with the estimated resident population for State Electoral Divisions in Australia as at 30 June 2024. It ranges from cell A1 to Z451.,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 4. Estimated resident population, State Electoral Divisions, Australia",,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,
,,ERP at 30 June,,,,,,,,,,,,,,,,,,,,,,,
26306,Oakleigh (Southern Metropolitan),71080,71709,72402,73090,74175,75438,76934,78244,80124,80945,82227,84188,86178,88079,90329,92900,94655,95945,96588,96858,91184,93051,99163,103497
26404,Ovens Valley (Northern Victoria),55056,55149,55296,55414,55773,56338,56580,56898,57156,57444,57564,58188,58726,59204,59782,60614,61281,61857,62248,62628,63037,63436,63733,63936
26501,Pakenham (Eastern Victoria),16214,16637,18016,20000,21601,23576,25628,28260,31495,35133,38635,43027,47107,50391,53893,58128,62220,66792,71022,74680,77201,79998,82804,85673
26603,Pascoe Vale (Northern Metropolitan),55869,56057,56273,56627,57266,58067,59246,60240,61704,62404,62904,63980,65084,66404,67838,69605,70688,71609,71969,71924,69671,70163,72244,73970
26707,Point Cook (Western Metropolitan),27880,29606,32093,34764,38007,40905,44132,47646,51507,55807,59825,64004,67897,71779,75568,79726,84084,88426,92360,94383,93804,94541,96845,98334
26808,Polwarth (Western Victoria),52944,53343,53479,53599,53680,53918,54661,55575,56520,57307,58062,59009,59787,60480,61217,62137,63463,64868,66479,68228,69969,70800,71456,72050
26906,Prahran (Southern Metropolitan),50370,51479,52487,53676,55307,56713,58337,59573,61274,62224,63018,66058,68644,71296,73631,76959,79122,80188,81030,79896,74108,74421,79078,81496
27003,Preston (Northern Metropolitan),67140,66890,66613,66803,67202,67855,68476,69584,70754,71440,71670,72573,73399,74297,75306,76792,77491,77862,78030,77876,74988,74869,77265,79334
27103,Richmond (Northern Metropolitan),47531,48419,49024,49586,50209,51113,52339,53493,54752,55690,56308,58445,60903,63823,66128,68730,70105,70966,71770,71775,67968,68816,72806,75376
27202,Ringwood (North-Eastern Metropolitan),68239,68293,68239,68150,68355,68697,69928,70917,72145,72772,73467,74632,75918,77115,78260,79720,80986,81715,82486,82916,81092,81188,82658,84063
27308,Ripon (Western Victoria),55800,55816,55759,55649,55650,55798,56265,56652,57437,58029,58367,59187,59952,60627,61368,62275,63229,64363,65352,66432,67520,68163,69041,70597
27405,Rowville (South-Eastern Metropolitan),64117,65866,67138,67504,68087,68885,69417,70076,70715,70851,70409,70769,71165,71546,72033,72763,73194,73466,73646,73339,71736,71229,72062,72609
27506,Sandringham (Southern Metropolitan),52632,52731,52823,52996,53242,53687,54322,55084,55755,56112,56698,57535,58508,59692,60839,62180,62892,63878,64538,64871,63695,63649,64863,66034
27604,Shepparton (Northern Victoria),63060,63490,63845,63745,63721,64063,64682,65430,66376,67135,67576,68398,69112,69829,70385,70925,71893,72835,73762,74569,74676,75092,75224,75952
27708,South Barwon (Western Victoria),36829,37857,38879,39888,41035,42213,43084,44153,45226,46213,47107,48511,50320,52162,54317,57042,60125,63430,66519,69668,72916,76573,79948,84004
27808,South-West Coast (Western Victoria),61118,61651,62030,62363,62737,63303,63740,64216,64695,65142,65551,66064,66602,67034,67433,67898,68331,68832,69290,69726,69893,70223,70590,70904
27907,St Albans (Western Metropolitan),63438,63766,64303,65279,66498,67187,68262,69466,70880,71951,72702,73257,73834,74503,75371,76669,77723,78321,78455,77919,75283,73720,74930,75791
28007,Sunbury (Western Metropolitan),50798,51120,51924,52657,53327,54039,54716,55445,56269,56650,56813,57198,57544,58174,58878,59963,60795,61635,62892,63972,63770,64362,66300,68409
28107,Sydenham (Western Metropolitan),38203,41821,45279,48442,52158,55558,58631,61142,63493,65262,66242,67514,69080,70891,73091,75617,77128,78202,78849,78623,78138,80295,83941,88401
28207,Tarneit (Western Metropolitan),39447,40187,41605,43046,44740,46719,49532,52130,55050,58456,61453,64890,67646,70440,73624,76785,80191,84093,87960,91426,94229,98002,102994,107568
28303,Thomastown (Northern Metropolitan),48327,47958,47479,46693,46091,45756,46393,47469,48771,49651,52492,54978,57994,60757,63848,66714,69469,71976,74390,77154,78549,81263,84338,87589
28402,Warrandyte (North-Eastern Metropolitan),68203,68603,68929,69102,69560,69990,70367,70988,71577,71617,71614,71964,72267,72869,73337,73966,74314,74793,75557,75582,74312,74274,75484,76657
28508,Wendouree (Western Victoria),54148,54777,55385,55725,56087,56496,56727,57544,58279,59007,59820,60486,61184,61826,62564,63575,64392,65172,66414,67460,68426,70118,71372,72774
28607,Werribee (Western Metropolitan),42429,43587,44806,45927,47556,48834,50404,52044,54056,56035,57704,59849,61784,63310,64845,67013,70097,73433,77751,82204,85437,90296,95218,100008
28707,Williamstown (Western Metropolitan),56138,56282,56404,56411,56660,57165,57969,58714,59654,60144,60511,61333,62155,63215,64326,65606,66428,67327,68227,68305,66758,66894,68444,70131
28804,Yan Yean (Northern Victoria),12151,12513,13242,14280,15365,16431,18549,20872,24651,29475,33908,39194,44341,48858,53167,58428,62310,65599,68842,71510,73989,77384,80887,84375
,Total Victoria,4763615,4817774,4873809,4927149,4989246,5061266,5153522,5256375,5371934,5461101,5537817,5651091,5772669,5894917,6022322,6173172,6302608,6423038,6537305,6615046,6547822,6630631,6816241,6978719
30001,Algester,37162,38478,40228,42005,43018,44663,46903,48824,50820,52068,52741,53825,54669,55409,56304,57169,58303,59333,60484,62039,63624,66186,69558,72110
30002,Aspley,42611,43342,43881,44393,45114,45500,46147,46914,48105,48704,49132,49766,50580,51076,51392,51701,52450,53190,54126,54927,55327,56178,57315,58356
30003,Bancroft,21978,23706,25771,28510,31294,33088,36361,39117,41671,43597,45360,47191,49046,51107,53518,55620,56653,57491,58562,59597,60442,61938,63621,64950
30004,Barron River,33525,34051,35151,36268,37535,39117,40801,42746,44840,46403,47588,48909,49985,50924,51839,52900,54022,55017,55918,56865,57432,58772,60407,61566
30005,Bonney,39194,40890,42259,43104,43378,43983,44552,45141,46202,46710,47325,48432,49715,50661,51576,52414,53101,53463,54685,55861,57185,57964,59457,60280
30006,Broadwater,31804,32717,33505,34327,35126,35950,37387,38846,40079,40879,41735,42680,43543,44419,45188,46243,46968,47937,48737,49572,49919,51038,52659,54348
30007,Buderim,28551,30246,32587,34411,36003,37098,38129,39239,40364,41243,41948,43661,45140,46651,48153,49808,50936,51783,53209,54875,56559,57746,59860,61231
30008,Bulimba,38769,39591,40793,41580,42730,43994,45907,47531,48642,49357,50108,51267,52270,53002,54058,55072,55930,56717,57624,58521,58557,59405,61131,62603
30009,Bundaberg,44167,44728,45071,45672,46489,47411,48032,48731,49267,49625,49823,49981,50041,49924,49679,49569,49934,50347,50641,50850,50958,51597,52337,52938
30010,Bundamba,35583,35900,36030,36706,37821,39227,41100,42887,45417,47383,49475,51869,53902,55901,57588,59411,61799,64456,67467,70263,72853,76222,79411,82491
30011,Burdekin,50879,51454,51910,52002,52470,53147,54131,54948,55857,56354,56895,57468,57419,56671,55753,54608,54535,54702,55269,56022,56636,57464,58540,59536
30012,Burleigh,39130,39920,40817,41914,42907,43727,44753,45643,46102,46443,46967,47632,48002,48341,48628,49022,49364,49908,50430,51097,51024,51446,52862,54266
30013,Burnett,33139,33742,34542,35611,36885,38060,39140,40542,41650,42317,42796,43917,44620,44963,45252,45673,46403,47306,48259,49299,50591,52127,53780,55389
30014,Cairns,46675,47186,48296,49307,50741,51999,52902,54102,54935,55482,55995,56721,57635,58194,58488,58952,59570,59968,60049,60071,59752,60085,60933,61455
30015,Callide,44932,44770,44651,44630,44706,45178,45500,46375,47298,47673,48483,49131,49900,50527,50690,50889,51168,51087,51233,51393,51558,52006,52658,53253
30016,Caloundra,27664,28650,30242,31769,32900,33949,35147,36686,38295,39303,40041,41024,41903,43024,44152,45537,47558,49852,52163,54404,56845,59687,62372,65759
30017,Capalaba,49811,50301,50488,50423,50461,50384,50399,50377,50505,50642,50903,51213,51438,51564,51769,51999,52606,52810,52928,52685,52339,52507,53254,53771
30018,Chatsworth,37005,37916,38637,39568,40353,41217,42585,44339,46103,46989,48087,48781,49499,50091,50549,50875,51349,51758,52266,52565,52436,52763,53828,54569
30019,Clayfield,41283,42121,42650,43487,44119,45156,45783,46636,47467,47992,48550,49951,51107,52171,53006,54104,55520,56698,57930,59056,59069,60132,62131,63543
30020,Condamine,37572,38417,39249,40069,41298,42162,43097,44209,45310,46043,46749,47890,48910,49757,50589,51413,52491,53408,54293,55133,55908,57004,58279,59502
30021,Cook,43782,44419,44802,45096,45449,45963,47072,47983,48753,49250,49753,50397,51224,51694,52455,53308,53547,53572,53628,53636,53601,54110,54788,55486
30022,Coomera,13122,14481,16405,18217,21370,24313,28767,33025,37003,39600,42013,45128,48388,51406,54763,60076,65616,71841,77501,82723,87398,92628,96883,100248
30023,Cooper,44175,44866,45307,45794,46383,47208,47569,48491,49137,49432,49831,50282,50942,51468,51827,52339,52987,53527,53955,54040,53405,53941,55851,57024
30024,Currumbin,38885,40064,41106,41564,41842,42241,42713,42751,43070,43451,44007,44651,45094,45400,45851,46526,47053,47550,48161,48598,48550,49068,50032,50989
30025,Everton,42439,43934,45290,45941,46706,47322,48003,48739,49590,50146,50534,50939,51310,51530,51750,52064,52474,52933,53526,53768,53869,54429,55465,56536
30026,Ferny Grove,41601,42626,43599,44137,44399,44664,45492,46108,46838,47555,48184,48911,49413,49623,49961,50436,51179,51889,52475,52874,53160,53689,54904,55807
30027,Gaven,35401,37376,39948,41838,43234,44772,46104,47086,47861,48208,48379,48984,49588,49776,49971,50182,50499,50973,50980,50873,50769,51052,51936,52547
30028,Gladstone,38089,39071,40101,41421,42166,43257,44385,45694,46795,47215,48495,49139,50208,51062,51298,50517,50342,50449,50767,50898,50953,51591,52611,53473
30029,Glass House,33580,34359,35369,36385,37337,38177,38814,39824,41151,41904,42365,43210,43970,44749,45495,46266,47165,48075,48991,49565,50444,52079,53462,54802
30030,Greenslopes,41689,42304,42877,43411,44049,44566,45234,46057,46798,47343,48013,48891,49504,49960,50375,51204,52318,53315,54223,54741,54533,55033,56201,57275
30031,Gregory,38985,39302,39364,39673,39975,40288,40614,41173,41874,42349,42945,42961,42806,42369,41409,40481,40234,40258,40290,40224,40084,40391,40928,41377
30032,Gympie,37596,38132,38990,40038,41268,42357,43476,44591,45810,46508,47059,48038,48734,49348,49857,50703,51629,52332,53364,53957,54884,56221,57386,58856
30033,Hervey Bay,33898,34661,36224,38243,39909,41632,43436,45032,46478,47417,47897,48553,49068,49635,50017,50488,51419,52571,53402,54259,55149,56726,57980,59368
30034,Hill,51667,51897,52218,52339,52467,52336,53046,53461,53702,53900,54040,54530,54935,55266,55372,55648,56192,56767,57162,57573,57746,58085,58864,59612
30035,Hinchinbrook,32346,32525,32573,32625,32929,33485,34779,36808,38361,39526,40986,42926,44607,46170,47319,48558,49318,49940,50427,51114,51916,53395,54719,55973
30036,Inala,41620,43301,45541,47518,48270,48814,49985,51161,52195,53389,54633,56218,57897,59171,60407,62152,63459,64749,65622,66242,66881,67571,69671,70971
30037,Ipswich,36186,36712,37161,37722,38463,39148,40015,41199,42279,43149,43613,44413,45077,45575,46216,46925,47335,48031,49131,50114,51451,53658,55860,58515
30038,Ipswich West,37017,37365,37921,38457,39030,39737,40502,41617,43222,44190,45248,46392,47156,47874,48768,49888,50820,51766,52880,53769,54653,55717,56572,57669
30039,Jordan,18286,20079,22151,24661,28238,30543,33826,36829,39451,41648,43732,45963,48526,51279,53368,55694,57992,60608,64120,67453,70308,74284,77604,80890
30040,Kawana,29833,30998,32752,34244,35509,36689,37953,39313,40508,41340,42054,43241,44602,45837,46776,47931,49000,50166,51215,52351,52978,53870,54701,55242
30041,Keppel,37204,38146,39159,40225,41041,42007,43350,44295,45540,46040,46634,48153,49391,50020,50610,51114,51585,52100,52799,53499,54113,55252,56285,57178
30042,Kurwongbah,34613,35742,37343,39169,40851,41998,43630,45420,46954,48172,48755,49861,50631,51418,52165,53028,54056,55243,56279,57423,58389,59874,61567,63243
30043,Lockyer,35290,36046,36475,37036,38356,39399,40328,41499,43197,44470,45574,46651,48305,49571,50232,51131,51693,52292,52850,53240,53666,54723,56242,57609
30044,Logan,36552,37307,37917,38800,39224,39948,40343,40897,41396,41731,42167,43406,44642,45696,47093,48716,51595,54941,59226,63134,66875,72876,78350,84470
30045,Lytton,43553,44798,45459,46238,46750,47223,47859,48514,49431,50165,50834,51650,52268,52727,52897,53173,53712,54096,54554,55022,55149,55453,56122,57215
30046,Macalister,39231,40115,41022,41863,42799,43853,44820,46076,47583,48922,50221,51613,52854,54026,55104,56306,57242,58114,59237,60564,61435,63211,65490,67460
30047,Mackay,47825,48811,49786,51146,52952,54815,55479,56272,57081,57651,58218,57839,57322,56423,55507,54500,54428,54793,55233,55943,56486,57031,57648,58051
30048,Maiwar,47494,48728,50372,51507,52551,53866,55015,56038,57167,57961,58531,59423,59891,60371,60892,61803,63002,63924,64794,65313,63588,64790,68047,70139
30049,Mansfield,41453,42308,43078,43677,44391,45100,45772,46265,46825,47191,47807,48709,49329,50001,50744,52010,53605,55011,56452,57841,58514,59562,61171,62680
30050,Maroochydore,33458,34499,35373,36634,37548,38536,39380,40189,40875,41422,42062,43104,44169,44891,45782,46528,47749,48842,49812,50692,51375,51902,53037,53996
30051,Maryborough,37249,37932,39069,40108,41269,42491,43605,44800,45974,46724,47214,47839,48577,49028,49371,49667,50150,50740,51453,52310,53433,54765,56226,57380
30052,McConnel,27223,29184,33724,36350,38778,41391,43855,44917,45656,46319,47463,49243,51298,53251,55730,58379,61447,64582,67653,70256,69831,73088,77981,81759
30053,Mermaid Beach,36165,39127,41602,43527,44496,45105,46230,46560,47641,48188,48566,49353,50087,50651,51191,51669,52365,53082,53610,54284,54541,55441,57195,58693
30054,Miller,39184,39816,40293,40824,41648,42379,42850,43690,44656,45072,45531,46619,47647,48477,49206,50000,50403,50824,51139,51380,50996,51491,52623,53517
30055,Mirani,37755,38182,38645,39273,40150,41218,42048,43257,44533,45481,46405,47397,48476,48981,48899,48559,48575,48660,49077,49851,50715,51568,52414,53179
30056,Moggill,40683,41779,42643,43444,44356,45260,46117,46980,48108,48712,49035,49467,49810,50072,50224,50579,50906,51110,51472,51608,51269,51529,52324,53037
30057,Morayfield,34820,35307,36291,37689,38597,39680,41477,43582,45810,47973,49596,50902,51802,52512,53068,53723,54714,55842,57323,58861,60149,62161,64875,67671
30058,Mount Ommaney,44070,45062,45768,46489,46991,47777,48383,48829,49356,49638,49779,50756,51364,51713,52037,52221,52450,52450,52527,52671,52454,52464,53386,54215
30059,Mudgeeraba,37595,38690,40253,41693,42877,44063,45923,47163,48402,49472,50311,51451,52489,53564,54610,55443,56548,57353,58075,58822,59407,60080,61024,62122
30060,Mulgrave,38148,39131,40028,41045,42305,44094,45898,48237,50086,51195,51778,52855,53601,53957,54194,54326,54788,55291,55755,56384,56745,57850,58868,59941
30061,Mundingburra,42708,43801,44703,45823,47258,48170,48823,49656,50256,50748,50932,51331,51802,51927,51955,52156,52382,52285,52034,52099,51877,52188,52615,53200
30062,Murrumba,27830,28804,30130,31584,32642,33652,35430,37566,39677,41892,43624,46035,48265,50555,53203,56217,59258,62669,65659,68085,70112,73012,75432,77210
30063,Nanango,44064,44488,44915,45429,46129,47089,47649,48368,49367,49903,50331,51058,51745,52006,52025,52283,52450,52421,52495,52591,53024,53711,54601,55292
30064,Nicklin,34288,35102,35911,36818,37556,38340,38965,39830,40415,41087,41711,42542,43343,43813,44230,44855,46070,47083,48090,49163,50387,51636,53017,54242
30065,Ninderry,29504,30403,31637,32605,33638,34882,36220,37517,38778,39570,40119,41740,43285,44685,46244,47822,49689,52013,54297,55742,57087,58813,60184,61649
30066,Noosa,38725,39974,41028,41922,42283,42551,43027,43892,44643,44961,45209,45755,46294,46866,47377,47764,48152,48775,49054,49508,49531,49918,50739,51501
30067,Nudgee,41716,42280,42389,42553,42839,43503,44493,45945,47346,48512,49630,50692,51980,52945,53750,54720,55456,55991,56659,56901,57006,57770,59166,60636
30068,Oodgeroo,31473,33008,34884,35851,36822,37657,38812,39818,40978,41353,41901,42549,42960,43334,43458,43954,44332,44686,45079,45301,45506,45822,46554,47539
30069,Pine Rivers,34286,35497,37150,38263,39567,40867,42857,44318,45746,46757,47593,49025,50217,51369,52433,53878,54602,55222,55764,56296,56515,57389,58588,59588
30070,Pumicestone,29287,30274,31145,32234,33292,34398,35623,36917,38173,39306,40329,41885,43230,44338,45193,46328,47689,49195,50491,51707,52959,54614,55864,56995
30071,Redcliffe,43564,43841,44193,44398,44718,45024,45709,46419,47222,47794,48395,49127,49620,50183,50560,51069,51547,51823,52229,53115,53802,54690,55594,56773
30072,Redlands,30210,31148,33072,35003,36512,37762,39130,40967,42192,43136,44184,44814,45411,46001,46603,47628,48983,50544,52017,53509,54893,56374,57890,59674
30073,Rockhampton,46910,47007,47309,47899,48375,49027,49567,50299,51147,51791,52402,53321,54034,54317,54116,53467,53526,53621,53864,54164,54571,54899,55526,56074
30074,Sandgate,41063,42158,42814,43219,44013,44574,45568,46655,47618,48230,48882,49805,50589,51515,52326,53289,54063,54678,55122,55393,55305,55724,56722,57718
30075,Scenic Rim,37162,38078,39555,40666,41713,42646,43886,44832,46306,47225,47725,48380,49103,50241,50977,52000,52742,53591,54232,54853,55460,56644,57962,59104
30076,South Brisbane,32371,33568,34681,35815,36747,37881,38963,40351,41847,42536,43860,45144,46625,48058,49476,51057,54391,57856,61565,65005,66537,69495,73269,76016
30077,Southern Downs,44710,45005,45195,45289,45526,45953,46582,47228,47883,48323,48741,49200,49726,49845,49748,49796,49964,50065,50120,50172,50291,50688,51203,51663
30078,Southport,40017,40828,41464,42265,43203,44579,45643,46826,48159,49451,50008,50965,51749,52427,53454,54385,56024,57014,57541,57921,57769,58504,59947,60758
30079,Springwood,46177,46480,46746,47015,47321,47615,47907,48317,49018,49441,49928,50758,51460,52191,52670,53257,53565,53862,54111,54054,53823,54078,54965,55636
30080,Stafford,44383,44923,45120,45543,46020,46345,46997,47912,49110,49937,51017,51796,52527,53226,53861,54515,55346,56214,56869,57567,57644,58325,59507,60736
30081,Stretton,44474,45990,47233,48429,49426,50642,51607,53078,54649,55261,56289,57638,58854,59756,60667,61610,61889,61947,62031,61945,60939,61433,63208,64654
30082,Surfers Paradise,40897,41469,42759,43674,44221,45442,46275,46754,47160,47381,47602,48910,50018,51007,52088,53329,54286,54865,55317,56224,56568,58445,61035,63041
30083,Theodore,27469,29069,30427,31882,34017,35900,38593,41774,44156,46352,48289,50156,52014,53066,54309,56014,57277,58457,59398,60367,60468,61512,63078,64097
30084,Thuringowa,40937,42123,43329,44629,45879,47516,48554,49723,50967,51620,52534,52590,52831,52890,52796,52826,52890,52892,52902,52846,52819,53186,53775,54341
30085,Toohey,47152,47955,48309,48794,49689,50509,51216,52023,53346,54244,55223,56217,57150,58031,58669,59203,59479,59481,59541,59440,58409,59101,61403,63246
30086,Toowoomba North,45829,45997,46292,46746,47225,47846,48424,48986,49609,50017,50295,50703,51141,51239,51408,51607,52373,53192,53941,54637,55399,56380,57227,57904
30087,Toowoomba South,45814,46535,47368,48409,49676,50404,50779,51360,52000,52541,52816,53647,54184,54725,55033,55390,56249,56928,57528,57991,58131,59094,60293,60912
30088,Townsville,41746,41972,42315,42710,43588,44366,45435,46511,47729,48930,50034,50976,51272,51544,51445,51178,51011,50881,50867,51002,51064,51562,52330,52967
30089,Traeger,46874,46167,45679,45133,45005,44872,45653,46703,47199,47644,48194,47881,47520,46685,45566,44159,43879,43738,43677,43923,44010,44032,44125,44096
30090,Warrego,43741,43521,43273,43005,42962,42901,43213,43800,44483,45097,45861,46049,46254,45976,45390,44512,44218,44086,43853,43649,43555,43752,44209,44481
30091,Waterford,40806,41938,42798,43933,45089,46003,46984,48119,49530,50737,51714,52933,54060,54824,55521,56416,57489,58476,59579,60789,61956,63930,66329,68580
30092,Whitsunday,32311,33560,34692,35879,37520,38984,40487,41771,43034,44006,45078,46928,48559,49729,50476,50850,51692,52432,53183,54231,55032,56305,57848,59170
30093,Woodridge,51775,52852,53849,54736,55752,57367,59044,61015,62952,63735,65365,66770,68676,69420,69683,70378,71166,71807,72325,72458,72489,72999,74586,76209
,Total Queensland,3571469,3653123,3743121,3829970,3918494,4007992,4111018,4219505,4328771,4404744,4476778,4568687,4652824,4719653,4777692,4845152,4926380,5006623,5088847,5165613,5215814,5320941,5460477,5583833
40001,Adelaide,30201,31032,31871,33074,34127,35222,36512,37277,38081,38716,39075,39865,40530,41053,41776,42265,43144,43800,44784,45665,45325,46205,48455,49760
40002,Badcoe,33309,33422,33585,33740,33979,34357,34720,35015,35378,35803,36053,36531,36885,37220,37524,37931,38448,38984,39857,40716,41032,41470,42498,43164
40003,Black,31601,31945,32232,32512,32802,33035,33402,33787,34199,34452,34540,34814,34966,35060,35115,35213,35291,35393,35538,35749,35772,35840,36150,36338
40004,Bragg,34489,34669,34765,35046,35307,35427,35549,35637,35904,35988,35969,36131,36262,36464,36684,36915,37268,37516,37742,38082,38177,38514,39108,39329
40005,Chaffey,38580,38502,38236,37977,37907,37818,37555,37119,36790,36512,36197,36402,36579,36857,37008,37093,37271,37352,37466,37535,37552,37569,37643,37790
40006,Cheltenham,30958,30992,31025,31148,31314,31532,31691,31863,32294,32785,33230,33778,34369,35053,35749,36157,36697,37374,38162,39069,39502,40154,41131,41770
40007,Colton,33022,33021,33080,33035,33027,33185,33279,33458,33936,34249,34577,34860,35093,35424,35746,35906,36187,36546,36952,37329,37425,37824,38664,39339
40008,Croydon,32718,32890,33050,33147,33305,33491,34222,35242,36284,37301,38412,39179,39899,40446,40732,40873,41295,41808,42597,43321,43493,44230,45096,45648
40009,Davenport,35571,35702,35897,35932,36124,36341,36263,36390,36563,36680,36693,36762,36653,36592,36400,36246,36339,36413,36528,36676,36712,36746,37290,37482
40010,Dunstan,34755,35109,35378,35636,35890,36209,36545,36755,37070,37360,37464,37528,37586,37574,37600,37683,37936,38246,38654,39030,38750,38905,40172,40862
40011,Elder,34668,34661,35001,35200,35367,35581,35865,35992,36469,36767,36855,37218,37569,37854,38115,38283,38576,38792,39061,39425,39576,39761,40246,40743
40012,Elizabeth,32219,32785,33203,33498,33730,33859,33940,34262,34692,35166,35570,36279,36846,37405,37695,37996,38648,39289,39883,40593,40895,41389,42133,42481
40013,Enfield,24714,26342,27737,28632,29647,30683,31738,32505,32970,33617,34302,35228,36218,37162,38032,38990,39969,41012,42276,43649,44591,45468,46456,47312
40014,Finniss,21914,22625,23287,24115,24864,25431,26275,27178,27823,28556,29132,29636,30083,30562,31023,31388,31812,32302,32940,33665,34618,35234,35730,36336
40015,Flinders,33982,34140,34251,34291,34295,34461,34611,34729,34925,35117,35156,35368,35526,35728,35845,35904,36088,36218,36390,36583,36909,37067,37307,37552
40016,Florey,29741,30110,31045,31619,32304,32932,33768,34458,35121,35770,36311,36662,36962,37188,37417,37653,37931,38309,38651,39125,39021,39049,39689,40171
40017,Frome,32415,32787,33022,33256,33567,33679,33957,34141,34444,34893,35181,35607,36036,36349,36663,36920,37226,37477,37788,38268,38757,39436,40095,40719
40018,Gibson,31399,31429,31331,31294,31357,31672,32139,32659,33184,33736,34123,34610,34928,35382,35806,36291,36671,37277,37931,38512,38606,39121,40189,40983
40019,Giles,40112,39451,39234,39019,38729,38783,39162,39513,39685,39852,40020,40013,39791,39501,39171,38422,38039,37936,37872,37774,37653,37557,37598,37530
40020,Hammond,27679,28159,28606,29047,29440,29801,30562,31454,32088,32676,33187,33803,34373,34957,35512,36008,36390,36750,37141,37588,37971,38441,39173,39776
40021,Hartley,33293,33301,33354,33353,33463,33681,34042,34405,35016,35480,35774,36121,36317,36503,36715,36878,37450,37932,38805,39736,40222,40804,41802,42383
40022,Heysen,33145,33119,33123,33052,33136,33182,33246,33424,33647,33780,33677,33762,33895,34016,34142,34304,34479,34702,34948,35243,35587,35790,36096,36564
40023,Hurtle Vale,33951,34068,34070,34144,34023,34248,34496,34622,34576,34588,34482,34557,34561,34478,34469,34361,34460,34569,34691,34939,35213,35507,35828,36049
40024,Kaurna,25848,25959,26183,26439,26706,27168,27776,28666,29736,30711,31802,32738,33622,34442,35371,36279,37167,37839,38670,39476,40277,40928,41798,42610
40025,Kavel,23436,24145,24865,25721,26475,27148,27688,28319,28920,29638,30274,30887,31281,31969,32622,33199,33923,34768,36023,37370,38680,40063,41304,42659
40026,King,33323,33913,34400,34617,34871,35027,35096,35196,35495,35512,35281,35460,35581,35678,35844,35966,36110,36248,36466,36644,36808,36837,37029,37190
40027,Lee,30836,30657,30379,30255,29977,30063,30140,30392,30741,30981,30990,31202,31406,31596,31759,31945,32103,32556,32960,33476,33767,34149,34673,35051
40028,Light,22117,22623,23128,23624,24229,24934,25705,26317,27064,27461,27665,28372,29210,30230,31168,32268,32980,33587,34476,35380,36529,37786,39257,40378
40029,Mackillop,39444,39582,39542,39456,39531,39450,39261,39071,38906,38768,38469,38627,38750,38843,38833,38802,38883,39034,39221,39431,39657,39650,39856,39915
40030,Mawson,24961,25526,25912,26181,26822,27542,28681,29715,30980,32220,33152,33825,34382,34936,35458,35930,36027,36372,36716,37176,37619,38324,38804,39456
40031,Morialta,33859,34038,34113,34191,34290,34523,34696,34890,34941,35012,34959,35108,35143,35198,35228,35173,35453,35902,36507,37114,37478,37722,38408,38905
40032,Morphett,29927,30032,30317,30370,30680,30989,31463,31873,32255,32619,32846,33030,33202,33362,33614,33874,34146,34345,34851,35222,35246,35521,36213,36712
40033,Mount Gambier,31081,31271,31579,31728,32051,32210,32619,32919,33185,33592,33688,34093,34418,34854,35213,35478,35597,35809,36051,36328,36499,36689,36898,37039
40034,Narungga,28338,28432,28555,28625,28796,28932,29237,29533,29859,30041,30094,30473,30760,31150,31434,31722,31995,32195,32484,32695,33162,33551,33993,34443
40035,Newland,35559,35419,35191,34953,34770,34715,34690,34711,34802,34833,34816,34840,34884,35012,35137,35336,35523,35783,36155,36529,36682,36836,37270,37667
40036,Playford,29431,29473,29317,29352,29727,30381,31292,32205,33316,34277,34995,35711,36452,37216,37923,38848,39657,40426,41015,41651,41685,41862,42155,42299
40037,Port Adelaide,34265,34175,34143,34046,33953,33942,34155,34530,34953,35276,35514,35612,35646,35633,35570,35501,35518,35675,35897,36236,36510,36855,37575,38270
40038,Ramsay,34537,34465,34586,34902,35275,35432,36175,36821,37421,38156,38709,39226,39773,40196,40729,41304,41813,42345,42951,43503,43642,43862,44245,44563
40039,Reynell,35766,35535,35115,34890,34791,34645,34420,34332,34426,34448,34388,34435,34500,34662,34691,34791,34899,34988,35230,35521,35805,36126,36506,36741
40040,Schubert,31082,31441,31826,32276,32667,32993,33338,33618,33948,34262,34463,34850,35120,35513,35939,36387,36680,37135,37432,37790,38077,38431,38905,39311
40041,Stuart,36784,36330,36390,36252,36128,36252,36469,36514,36541,36663,36609,36575,36693,36733,36617,36509,36323,36215,36157,36102,36036,35822,35738,35746
40042,Taylor,23892,23707,23791,23987,24579,25333,26507,28051,29569,31286,33037,34218,35383,36551,37407,38145,39047,39843,40501,41419,42559,44440,46479,49557
40043,Torrens,34557,34452,34440,34462,34597,35223,35957,36577,37224,37786,38061,38316,38577,39054,39485,39897,40678,41423,42349,43170,43248,43562,44277,44734
40044,Unley,36048,36111,36232,36141,36281,36638,36824,37049,37247,37468,37498,37630,37629,37729,37816,37871,38101,38339,38491,38671,38308,38386,39154,39507
40045,Waite,33406,33648,33835,33903,34046,34317,34495,34659,34965,35052,35134,35311,35513,35716,35908,36118,36337,36685,36924,37277,37297,37536,38301,38818
