            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 3.5 HOUSEHOLDS WITH DEBT, Debt ratios(a), Household characteristics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HOUSEHOLDS WITH DEBT 3 OR MORE TIMES INCOME(b),,,,,,,MEDIAN DEBT TO INCOME RATIO(b),,,,,,,HOUSEHOLDS WITH DEBT 75% OR MORE OF ASSETS,,,,,,,MEDIAN DEBT TO ASSET RATIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private landlord,1.3,1.4,1.2,1.2,1.4,1.6,,7.5,4.8,4.8,4.1,6.1,3.6,,1.5,1.4,1.3,1.6,1.8,2.2,,6.5,7.6,5.6,6,6.4,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other landlord type,7.4,np,5,8,7.4,8.7,,np,43.7,20,31.3,31.9,27.4,,1.8,5.3,5.8,5.1,10.2,7.4,,np,34.9,14.3,32.8,27.4,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total renters,1.1,1.3,1.1,1.2,1.3,1.5,,7.2,4.2,4.7,4.4,7.4,4.6,,1.4,1.2,1.3,1.4,1.7,2,,6,7.6,5.5,4.8,6.4,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other tenure type,5.9,6.2,6.4,5.2,8.9,5.6,,27.8,29.6,15,26.5,30.3,32.1,,3.4,4.5,5,3.7,7.4,5.1,,44.8,25.7,30.7,16,19.7,45.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1.2,0.9,1,0.8,1.4,1.2,,4.7,4.8,3.7,5.1,4.9,5.6,,0.5,0.4,0.4,0.5,0.6,0.7,,4.4,3.4,2.8,3,3,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family composition of household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One family households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Couple family with dependent children,2.1,2,2,2,2.1,2.2,,5.4,4,4,3.4,3.4,3,,0.5,0.7,0.7,0.7,1.1,1.1,,6.3,3.6,2.9,3.8,2.7,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One parent family with dependent children,3.5,3.7,3.9,4.8,6.5,5.2,,23,22.3,14.9,23.1,31.8,22.1,,2.2,2.9,2.2,2.8,3.8,4.3,,17.9,7.3,12.8,9.6,8.9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Couple only,1.7,1.6,2.1,2,2.2,2.1,,13,10.8,10.5,9.7,11.7,11.1,,1,0.8,0.9,0.9,1.2,1.1,,9,7.8,10.3,5.1,11.3,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other one family households,3.1,2.3,4.1,2.6,3.5,3,,4.6,0.1,0.2,11.7,11.9,10.1,,1.4,1.2,1,1.3,1.6,2.1,,11.3,9.2,10.5,7.7,9.3,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multiple family households,8.1,5.7,8.1,10.2,9,10.6,,40.8,0.1,31.8,33.5,33.7,33.1,,np,np,np,0,np,8.4,,45.6,22.1,15.6,15.3,25.5,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-family households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone person,2.8,2.5,2.6,2.9,2.4,2.4,,15.9,9.1,12.3,9.1,12.5,12.6,,1.1,1.3,1.1,1.3,1.3,1.5,,13.2,9.2,9.2,9.3,10.2,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Group households,3.6,3.4,3.6,4,3.8,7.1,,19.2,18.1,14.1,19.7,23,14.2,,3.8,5.1,5,4.7,7.6,7,,20.3,17.1,18.7,15.3,17.1,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1.2,0.9,1,0.8,1.4,1.2,,4.7,4.8,3.7,5.1,4.9,5.6,,0.5,0.4,0.4,0.5,0.6,0.7,,4.4,3.4,2.8,3,3,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age of household reference person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15–24,4.4,3.8,3.7,5.5,4.4,5.6,,12.1,10.3,10.3,17.8,14.4,14.9,,4.2,4.7,4.6,6.3,8.2,7.8,,14.9,9.2,11.3,12.7,10,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25–34,2.3,2.9,3,2.3,3.4,3.2,,10.6,13.6,16.4,9.4,15.2,13.6,,1.6,1.5,1.8,1.8,2.2,2,,3.8,4.3,3.4,2.6,4.4,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35–44,3,2.4,2.3,2.8,2.8,2.9,,6.3,3.5,2.8,3.9,3.7,4.7,,1,0.8,0.8,0.8,1.3,2.1,,5,2.8,2.7,2.5,2.3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45–54,1.9,1.6,3.1,3.3,3.1,2.4,,7.3,5.9,6,6.6,5,4.5,,0.6,0.8,0.7,1,0.9,1,,5.6,5,4.3,5.4,4.2,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55–64,2.2,2.1,2.1,2.3,2.9,2.9,,17,10.6,11.9,9.2,15,9.5,,0.7,0.6,0.4,0.7,0.5,0.9,,9.8,10.7,8.4,10.9,9.6,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65 and over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65–74,2,2.5,2.2,1.9,2.5,1.9,,16.2,9.1,7.7,7.3,9.6,9.6,,0.2,np,0.6,0.3,np,np,,24.7,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75 and over,2.4,3.3,3,2.5,3,2.3,,22.6,12.1,13.9,10.2,12.8,6.4,,np,0,np,np,np,np,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total 65 years and over,1.4,2,1.9,1.5,1.8,1.6,,11.7,7.7,6.4,8.5,7.3,4.3,,0.3,np,0.4,0.2,1,0.6,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1.2,0.9,1,0.8,1.4,1.2,,4.7,4.8,3.7,5.1,4.9,5.6,,0.5,0.4,0.4,0.5,0.6,0.7,,4.4,3.4,2.8,3,3,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
States and territories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New South Wales,2,1.9,2.4,2.1,2.6,2.4,,8.5,9.7,9.4,13.4,12.4,9.6,,0.9,0.9,0.8,0.8,1,1.3,,5.9,5.4,6.5,8,5.4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victoria,2.2,1.7,2.1,1.5,2.4,2.4,,12,10,9.7,9.6,10.2,14,,1,1.2,1,0.9,1,1.5,,7.9,5.8,6.5,4.8,6.4,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queensland,2.2,2.3,1.8,2.3,3.1,2.6,,16.8,11.1,9.7,11.3,12.4,8.9,,1.1,1.2,1.2,0.9,1.5,1.6,,7.7,4.4,5.1,4.9,6.3,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Australia,2.2,2.7,2.7,2.2,2.7,2.9,,15.4,7.7,11.8,11.3,10.6,9.7,,1,1.2,1.4,1.3,1.2,1.5,,9.4,7.7,8.4,7.5,8.1,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Australia,3.3,2.6,3.5,3.3,3.5,3.4,,12.8,12.5,11.6,11,9.7,11.8,,1.2,1.2,1.2,1.5,1.7,2.2,,10,7.5,6.4,5.1,7.8,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tasmania,2,2.7,2.2,2,2.7,3.2,,18.8,9.2,10.1,11.5,14,17,,1,1.3,0.9,1,1.2,1.5,,20,7,7.1,9.1,8.5,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Territory (d),5,5.1,4,5.4,6.5,5.6,,14.9,16.4,22.4,16.2,19.3,20.8,,2,2.8,2.6,3.2,3.5,3.1,,11.5,8.9,8,10.2,10.8,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Capital Territory,3.7,3.7,3.7,3.8,5,5.1,,21,16.9,21.1,21.2,24.6,12.7,,1.6,1.6,1.6,2.3,1.8,2.1,,4.2,11.5,4.2,9,10.2,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1.2,0.9,1,0.8,1.4,1.2,,4.7,4.8,3.7,5.1,4.9,5.6,,0.5,0.4,0.4,0.5,0.6,0.7,,4.4,3.4,2.8,3,3,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
np  not published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.. not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(a) Debt ratios are calculated only for households with debt. Includes households with nil or negative income or assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(b) Current disposable household income annualised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(c) Includes households with nil or negative total income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(d) Households in SA1s defined as Very Remote were excluded, accounting for over 21% of the population in the NT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Commonwealth of Australia 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
