            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 9.4  GROSS AND EQUIVALISED DISPOSABLE HOUSEHOLD INCOME, Household composition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FAMILY HOUSEHOLDS,,,,,,,,,,,,,,,,NON-FAMILY HOUSEHOLDS,,,,,,All households,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age of household reference person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15–24,9.5,0,0,np,11.3,14,7.5,0,0,0,7.5,,20.2,9.7,np,,12,0,0,0,12,6.6,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
25–34,3,7.6,np,23.6,2.8,5.5,3.7,0,0,0,3.7,,8.9,7.4,12.8,,4.9,0,0,0,4.9,6.7,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
35–44,3.6,4.4,9,7.1,2.6,7.7,0,4.5,0,0,4.5,,9.9,7.7,10.5,,0,4.5,0,0,4.5,11.3,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
45–54,20.7,3.7,6.4,6,3.1,6.8,0,4.5,0,0,4.5,,14.2,3.7,6.7,,0,3.8,0,0,3.8,9.9,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
55–64,np,15.6,9.2,10.3,7.8,10.1,0,0,3.2,0,3.2,,11.8,3.9,8.6,,0,0,4.3,0,4.3,9.7,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
65 and over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65–74,np,15.7,27.8,22.8,10.8,12.7,0,0,0,3.4,3.4,,13.9,5,8.8,,0,0,0,3.1,3.1,12.1,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
75 and over,0,0,np,0,np,30.7,0,0,0,3.7,3.7,,8.5,5.8,12.1,,0,0,0,2.8,2.8,18.4,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total 65 years and over,np,15.7,32.2,22.8,14.5,13,0,0,0,2.8,2.8,,8.8,3.8,7.3,,0,0,0,2.2,2.2,10,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,3,2.7,5,4.3,1.6,4.3,3.4,3.1,3.2,2.8,1.5,,4.5,2,4.2,,4.6,3,4.3,2.2,1.5,4,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
States and territories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New South Wales,6.1,4.9,9.4,8.5,2.9,5.3,4.3,4.2,7.4,5.2,3.2,,9.2,3.2,5.3,,8.2,6.4,6.7,4.4,3.4,6.2,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victoria,6.7,6.8,7.3,7.4,3.1,11,5.1,7.1,5.7,4.9,2.9,,8.3,3.8,12.2,,8.3,6.4,8.4,5.6,3.6,6.4,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queensland,4.8,5.1,17.5,12.9,3.9,9.7,4.7,5.6,8.6,6.8,3.4,,9.1,5.6,7,,11.2,7.5,9.6,5,3.7,8.6,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Australia,5.7,4.6,11.7,7.8,3,10.9,8.7,9.6,7,8.4,4.4,,15.2,5,19.6,,6.4,6.9,25.2,7.3,6,16.2,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Australia,5.2,5,19.4,13.1,3.5,5.7,21,11.5,7.4,6.3,6.9,,12.5,9.2,27.2,,18.4,8.8,11.1,4.9,5.6,12.3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tasmania,8.4,8.1,21.2,9.9,6.3,6.3,7.5,7.7,9.2,7.3,4.1,,16.1,7.6,12.8,,10,10.2,9.3,6.8,4.4,22.6,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Territory (c),8.5,9.5,18.7,17.2,5.6,15.1,9.7,7.3,9.9,12.3,4.6,,10.1,7.5,10.9,,11.8,17.6,24.9,16.7,10.6,18.8,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Capital Territory,7.1,5.8,13.8,35.9,4.1,12.9,8.3,12.3,6.5,7.7,4.1,,17.9,11,22.2,,9.4,7.8,9.6,7.4,4.3,10.6,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,3,2.7,5,4.3,1.6,4.3,3.4,3.1,3.2,2.8,1.5,,4.5,2,4.2,,4.6,3,4.3,2.2,1.5,4,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
np not published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(a) Includes other couple households with dependent children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(b) Includes other couple family with no dependent children and other one family households ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(c) Households in SA1s defined as Very Remote were excluded, accounting for over 21% of the population of NT ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(d) Includes households with nil or negative total income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Commonwealth of Australia 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
