Principal outstanding on loans for other purposes (excl. business and investment loans),28.8,34.8,np,42.2,17,39.6,25.8,35.6,36.9,37.1,16,,28.9,22.3,np,,36.2,47.9,40.3,33.3,23.8,45.3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total liabilities,4.1,6.3,11.7,8.4,3.1,9.8,6.7,7.5,6.9,13,4,,9.2,6.3,12.9,,10.3,7.1,10.5,22.8,4.7,29.1,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net worth of household,6.7,6.4,7.6,12.6,4.1,11.2,7.4,7.2,4.2,5.8,4.2,,13.2,9.7,9.8,,9.8,8.9,7.3,5,3.9,10.3,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other net worth items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selected net values(e),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net value owner occupied dwelling,9,4.7,7.8,7.5,3.4,11.3,10.9,7.8,5,4.9,3.7,,4.7,4.3,9.1,,18,10,5.9,3.6,3.2,14.6,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net value other property,15.5,27.6,15.6,28.1,11.9,46.7,21.5,18.7,11.3,8.9,6.2,,16.2,12.9,25.9,,28.6,27.8,15,22.2,13.3,49.3,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net value total property,9.4,8.3,8.7,8.1,4.4,15.3,9.9,10,5.1,4.9,3.7,,5.8,5.4,10.3,,14,10.9,6.1,5.6,4.2,15.9,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net value vehicles,5.2,5.8,10.1,12.6,3.8,8.4,6.6,7.9,5.7,4.4,2.4,,6.2,5.1,9.7,,12.6,10.9,7.4,6.3,4.3,8.7,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
np  not published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(a) Includes other couple households with dependent children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(b) Includes other couple family with no dependent children and other one family households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(c) Includes the value of debentures and bonds, silent partnerships, other financial investments, loans to persons not in the same household ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(d) Includes value of assets nec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(e) Selected net values are the asset value net of associated loans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Commonwealth of Australia 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
